score,prompt,essay,comment,URL
6.5,"Financial education should be a mandatory component of the school program. To what extent do you agree or disagree with this statement? 

","In many countries the discussion about the rising financial problems of young people has been getting more emphasis. some people are voting to integrate financial education as a . 
The key problem for many young people is that they don't know how to use and spend money in the right way. The “get what you want mentality” is widely advertised by the mass media and it looks like some people think that living is normal. Though financial problems in young life are very common with the result that . The main idea of teaching a financial subject must be to explain about a balanced budget and that debt could ruins one's future. 

this is just one side that has to be considered. For me, the main question is why the parents cannot give the right advice to their kids? To leave such a personal subject in the hands of government and school means to ignore a key task of any parent: to be a good role model. 
Moreover it should be that the social effects of talking about money and finance in a socially diverse school class can be harmful for some students. In my opinion it is more important to teach parents about their responsibilities as a role model and have them educate the children about this private topic in a safe and private environment. 
All in all I think the main task of public institutions should be to educate about common subjects and not to give such personal advice like the use of money. 
","This essay is not bad. It has the right structure - 5 paragraphs, and it covers the task. The paragraphs can be improved - make them similar in size, the 2nd paragraph is too long compared to the 3rd . The grammar and spelling need some attention and the linking words could be used more elegantly, see details in the comments underlined in blue. Overall, this looks like a Band 6.5 essay. ",
6.0,"Learning about the past has no value for those of us living in the present. Do you agree or disagree? Use specific reasons and examples to support your answer. 
","Evaluation of the importance of timing is essential, past to show the importance of their present, while that to even remember their past because it would not help them at all. It is a very controversial and complicated matter. 
, many people believe this statement, for many reasons. Firstly, all of us had made many mistakes which we would not like to remember, they will affect their present because they can create some problems with our families example. Secondly, instead of remembering those past trials, one should get the benefits of their present. 
Regardless of what I said previously, many people are sticking to their past to give themselves a push in their present. It can give a way of learning from mistakes, and a good chance to try to avoid anything that once lead to a past failure. 

Moreover, success will not come without failure, everybody should make an attempt, even if it fails, and it may become a big success if they try it again and again. In addition, our past is our culture and heritage which we should not forget at all, it is a matter of value to our present and future, and will remain such till the day will die. 
To sum up, in my opinion, we can not live without a past, it is our value of life. it can help create your experiences and solve your problems better in the future. 


","This essay is too short - it should be at least 250 words, writing less words means getting penalized. The structure of sentences needs work and so does the grammar. Do not address the “audience”, write in general (See the comments for the last sentence of the third paragraph). Overall, this looks like a Band 6 work. See comments underlined in blue for more details. ",
6.0,"“Some people say that the education system is the only critical factor to development of a country. To what extent do you agree or disagree with this statement?” 
","Education plays a vital role in the development of a country. Therefore, some people think that the education system is the only important factor to the development of a country and they may be right. 
Education is the foundation of developed society. It is rightly said, 'education is a ladder success'. If all the people of any country are educated then they becomes broadminded, civilized and progressive. An educated society improves the standard of life as well. 
, education also creates a good employment opportunity and therefore country does not have to suffer from big problems like unemployment. Educated peoples are more aware of such as pollution and many more. A country becomes technologically advanced because of educated people. 

Not only this, but also by giving importance to education, the nations can get rid of problems like , poverty, unemployment and population growth that delay the progress of a nation. The crime rate can also be kept under . The standard of living of the people will go up. If the nations to be progressive it is very important that the people are more educated and progressive. Any country can become more technologically advanced and developed because of education. 
However, there are other factors that also play an important role in the development of a country. Such as governments have to encouraged people to do so 
In conclusion, I would like to say that a good education system will lead to a developed country. 


","This essay needs some work. It has a good structure and the sentences show enough fluency, but the last body paragraph needs to be corrected by adding another 2-3 sentences to it. In total, the number of words here is 235 which is under the required 250, that fact may cost you some marks. Also there are some repetition of words and grammatical errors. Overall, this looks like a Band 6 essay. ",
6.0,"People attend college or university for many different reasons (for example, new experiences, career preparation, or to increase knowledge). 
Why do you think people attend college or university? Use specific reasons and examples to support your answer. 

","Many people after their high school years for several reason which they choose . I believe that the most common reason why people to have new experiences on life , to prepare for a career, and to increase their knowledge of their personality. 
Firstly, many people to have new experience in life. Many students leave their home and move to live when they go to university. This is the first time that they had to make a resolution on their own, without their parents' help. Making their own decisions will increase their knowledge of themselves. Moreover, students university can meet different students from different nationalities and religions so students can learn about different around the world. 

Secondly, many people go to university or collage to prepare for a career. Career training is becoming more important nowadays to young people compared to old people. At college, students learn many skills for their career and they internship with a lot of chances. All of these prepare them for their career. 
Also, students attend university or college to increase their self-knowledge of their personality life. They attend increase their knowledge in subjects which they find interesting. For example, many students study science because they are in science but they work . 
To sum up, I think people should not only focus on a career when they go to university or college. They have to follow to have new experience and knowledge about their personality and the great world around them which they live in. 
","This essay needs much work. There are many grammatical errors, incorrectly used prepositions and inaccurate expressions (see comments underlined in blue). There are many repetitions of the same expressions - try to avoid that as much as possible. The task is covered, the paragraphs are connected by linking words - but the way you use them is rather primitive. Overall, this looks like a Band 6 essay. ",
6.5,"Dieting can change a person's life for the better or ruins one's health completely. What is your opinion? 
","Almost of the women today want a beautiful figure. That is why we are able to find a diet programme almost everywhere in the country. Most of the women have and gone on a diet before either to or just health problem. 
A proper diet programme will help you not only to slim down but also to have a eating habits. For instance more vegetables and fruits meat, fried food and carbonated drinks. For a diet programme we shouldn't food and water. There are some diet programmes from the doctors that help you to have a heart like the “Three day diet” which we can find on the Internet. This programme allows you to eat fruits and also some meat. This way of dieting will help you to avoid some of the health problems in the future like or a heart attack. 

However some people do not only go on a diet but they avoid eating and hungry for the whole day. All they have is just either water or juices. Also there people who buy special diet programmes over the counter which are not approved by the health department and they are doing so without consulting a doctor first. They do not follow the basic rules of dieting and this will lead them to some serious health problems like of some body parts or, even worse, death. 
In my opinion there is wrong with going on a diet as long as we follow the correct way of eating and . 


","This essay needs some work. It covers the task and has a good structure. The paragraphs are logically connected and many of sentences are structured correctly. However, there are some sentences with poor structure and many grammatical errors (See comments underlined in blue). Overall, this looks like a band 6.5 essay. ",
6.5,"Even though globalization affects the world's economy in a very positive way, its negative side should not be forgotten. Discuss. 
","Globalization is a process of advancement and increase in interaction between the worlds' countries and people. It locomotion, communication, knowledge and skills. is gaining over the entire world. It has enough world attention needed from international organization in promoting and encouraging human right and freedom , opportunities, economic, social and culture rights. 
However, there are some countries that are missing out opportunities that are offered and its taken as a big problem to their country. They are the poorer countries that are not connected to the people globally and their people are unskilled due to the lack of knowledge and . They are also unable to trade with the other countries which are richer and larger as they are unable to meet the demand of them. They also will not have the opportunities and the challenges that are . 

Globalization has also crimes like the illegal drug trafficking around the world through the air, sea and land. This has involved human smuggling and stuffing it in anything they come across. This has a lot of problems to the country and the families of the drug addicts. This will also lead to other crimes like robbery and violence in the country. 
Another negative side of globalization is the dumping of the dangerous waste to the , sea or the ocean. This will , the water and cause harm to the people . 
To conclude, globalization has contributed a lot to the world's but the international organization should also not forget the poorer countries and the countries should also tackle its other negative sides that affect the world. 


","This essay doesn't have a paragraph about the positive side of globalization, and it should - so the task is only partially covered. The structure is fine, the paragraphs are logically connected and linking words are used effectively enough. However, there are many spelling and grammatical errors (see comments underlined in blue). Overall, this looks like a Band 6 - 6.5 essay. ",
6.5,"Financial education should be a mandatory component of the school program. To what extent do you agree or disagree with this statement? 
","Children in this modern era have all the magnificent toys, food and many more other interesting things than . They are bound to have a craving all this stuff that they see. In other words children will be spending money on anything they want or . Even some adults these days have some kind of craving to the thing 

If financial education starts at the very beginning of the school years, this will help them to understand the value of money. Children should also be taught to manage their expenses and ways to spend wisely. When a child is being taught this in the school program, the child will be able to apply it when they are out to purchase or when they have left the school. They will not be cheated when they are young and this will not only benefit their families but also the whole country where they live when they are older. 
However, there are some children that are capable of in a very way even before they learned it at school. children would have learnt from their families or people around them. They manage money better, compared to the other children from wealthier families for whom spending is not a problem. 
My conclusion is, children regardless of their background should be taught financial education from school at the very beginning then only parents guide them from home as well. 


","This essay needs work. In the first paragraph you should have introduced the problem and mentioned what the two opinions are. Some of your sentences are unclear and their structure needs improvement (see comments underlined in blue for details). Also, there are arguments for financial education and no arguments against, which means that the task is only partially covered. Overall, looks like a Band 6 - 6.5 essay. ",
6.5,"The best way to reduce the number of traffic accidents is to raise the age limit for younger drivers and to lower the age limit for aged drivers. Do you agree ? 
","Traffic accidents are on the rise these days. Most of the accidents injuries or death. Research have found that most of the accidents are caused by inexperienced drivers, for example young drivers. 
Young drivers tend to be more daring and are unable to avoid a crush when they face one. They tend to be more daring after drinking alcohol at night and this causes them to lose control of the car. Drunk driving will not only risk a person's own life but may also cause an life to be lost. 

The government should encourage the driving to conduct driving lessons for drivers for a longer period. This will give them a clear picture about how accidents happen and teach them about the safety of others on the road. Drivers that have been in an accident after drunk driving should be from driving for at least two years and be given driving lessons again. 
However, for the aged drivers, the government should not only the age limit but also check the capability of the aged drivers for instance eyesight, hearing and other related health conditions to ensure safe driving. It does not mean that an aged person not fit to drive and has a problem with the heart but a young or a middle aged person could also have heart failure these days. 
To conclude, I feel that to raise the of young drivers not the best solution but to about the problems they may encounter on the road and to ban them from driving if they have caused an accident due to carelessness. As for the drivers, as long as they are capable on the road before a certain age and there are no health issues there shouldn't be a problem. 


","This essay is too long; you have written 305 words instead of the advised 250-265. In the first paragraph you should have presented the topic of argument an two opinions. The main issue here is multiple spelling and grammatical errors, see comments underlined in blue for more details. The task is covered, the paragraphs are coherent and logically connected by linking words. Overall, this looks like a Band 6.5 essay. ",
6.5,"Millions of people every year move to English- speaking countries such as Australia, Britain or America, in order to study at school, college or university. Why do so many people want to study in English? Why is English such an important international language? 
","Nowadays, language becomes a major factor to . Many people prefer to study abroad English-speaking country because English is an international language. There is no doubt that the best way to improve the English language skill is to use the English language daily so if people study in English speaking countries, their will be improved automatically and it will give them some advantages such as work in many countries or they will be to many different places without studying other languages. This essay will describe in detail why English is an important international language. 

Firstly, the English language is widely used in many countries and at present, the world traders are currently developing rapidly. In order to compete with people from different countries, it is to be able to communicate the English language. For example, China has been improving a lot in many sectors. They are able to compete with other countries because many people in China English language and they are trying hard to study English. 
Secondly, many companies prefer to employ people who can speak English because if the companies create new in different countries, the employers are able to move the new branch without new people and the branch company is still able to communicate with the central company. In fact, one of the largest companies in the world (Google) has created some in different countries and each of the Google is able to discuss things or otherwise communicate even though they are in different countries because they all use English to communicate. 
In conclusion, many people move to English speaking countries for further studies because they believe that it will improve their English skills and in order to become a successful person in the future, mastering English is . 


","This essay is too long (313 words instead of 250-265). It isn't a problem on its own, but wasting time on writing more content that you don't get extra marks for is not wise. Also, the more content you write, the more room for mistakes you create. There are a lot of poorly structured sentences and grammatical errors (see comments underlined in blue). Overall, this looks like a Band 6 - 6.5 essay. ",
6.5,"You can get up-to-date news from the radio, TV and the Internet. Which kind of media do you think is the best to get the news? 
","Nowadays, there are several channels to get news, such as the radio, TV, newspapers and the Internet. I think the Internet is the best among these. . 
Since its invention, the Internet has been booming as a prospective industry. Not only because it is a combination of text, audio and video, but also due to its . It has threatened the domination of spreading news of the traditional media, and, I would say, is about to take control. 

We can find everything we want on the Internet - the latest news, books, songs, movies, cartoons… . With the radio, we can merely hear. Compared to a newspaper, the radio and TV can provide the latest information. For instance the breaking news of the Americans' attacking Iraq was immediately online, as well as that the Twin Towers of New York were destroyed on September 11, 2001. However, we just cannot . 
The Internet is a way of getting information, as long as your mobile phone is connected or you possess a laptop. When I am a vehicle, I usually have my cellphone connected to the Internet, then browse through what in the past few hours, or log in MSN to begin a conversation with my friends. Reading a newspaper is also a good way to kill time, but for me, a youngster, it is not so modern as “surfing online while commuting”. 
The traditional media will never disappear, though the Internet has taken a big advantage the competition. And definitely, there is still a long way for the Internet to go. , the Internet benefits me the most, and I highly appreciate it. 


","This essay needs some work. It covers the task and its structure is fine. However the structure of the sentences needs attention (see suggestions in comments underlined in blue). Some words such as “whatever” should be avoided. You use prepositions in an inaccurate way and there are grammatical and spelling errors in your essay as well. Overall, this looks like a Band 6.5 essay. ",
6.5,"In many countries children are engaged in some kind of paid work. Some people regard this as completely wrong, while others consider it to be a valuable work experience, which is important for learning and taking responsibility. What is your opinion on this? 

","In the Third World, children are usually sent to factories for laborious work. Many people believe that it is merely exploitation, while others think it is a good opportunity for them to life experience. In any case, children have their right to live and study in peaceful conditions. Therefore, using them as workforce is considered an unacceptable action. 
First of all, children are not workers. They have just learned about the vast world and do not have any experience or concept of working. Since these innocent children are naive and , they can be easily cheated and exploited. There are many examples of this in poor nations. Because using children is cheap and to control, many enterprises hire them and don't pay them much. Although the government in these countries has tried its best, this kind of taking advantage of children cannot be eliminated. 

Moreover, children do not need such thing as 'valuable work experience' that is supposedly 'important for learning and taking responsibility'. The brief responsibility of children is learning. They are not old enough to understand what working experiences are. Nevertheless, they can help parents do chores or housework. This will be a much better way for them to become more responsible for . In addition, childhood is one of the most remarkable memories and must not be taken away by forcing them to work. 
In conclusion, since all children are the great concern of parent and society, they should be allowed to enjoy life and rather than to work. Hence, one must ponder what view is actually appropriate for the sake of the children. 
","This is a good essay. It covers the task, the paragraphs are coherent, the sentences are well-structured and the vocabulary is adequate. However a little structural change in the paragraphs is required - you should first make the point (such as “Some say that children should learn about earning money” and then oppose to it “However, children can not be compared to adult workers”). Also, there were some more inaccuracies (see comments underlined in blue). Overall, this looks like a Band 6.5 essay. ",
6.0,"Even though globalization affects the world's economy in a very positive way, its negative side should not be forgotten. Discuss. 

","Everything has two sides and the globalization is not exception. Our first thoughts about this topic include the process of global “McDonaldisation” and, generally speaking, spreading across the whole Globe. 
        Firstly, I would try to concentrate on the positive aspects of globalisation. As far as economy is concerned, like the Global Bank or IMF are always focused on developing the 'Third World' and helping poor people to combat their life obstacles (through loans and donations). Moreover, the world becomes an area of sharing thoughts (e.g. philosophical or economical doctrines), which become popular due to lack of barriers. 

        However, disadvantages of globalization are also widely known. Some people insist that because of this process, the spirit of countries and nations rapidly disappears. The integrity, established years ago is on the verge of collapsing. Furthermore, there's a strong lobby of communists who , that the globalization indicates an uncontrolled reign of capitalists and slave work of lower labour-class. We should never forget about the detrimental impact of global investments on the environment - the green house effect or soar rains are triggered by globalization. 
        To sum up, globalization has both positive and negative influence on our everyday life. I can't agree with the popular statement that we should try to avoid being affected by it. However, we must not forget about our surroundings and local communities. They have a great value which should last forever. 
","This essay is too short (233 words instead of mandatory 250), which may get it penalized. On the bright side, it covers the task and has a sound structure on the essay level. The paragraphs are coherent and are logically connected by linking words; the sentences are well-structured and the vocabulary is adequate. There were some inaccuracies, see comments underlined in blue. Overall, this looks like a band 6 essay. ",
6.5,"The best way to reduce the number of traffic accidents is to raise age limit for the younger drivers and to lower age limit for the aged ones. Do you agree? 


","With the rapid increase in the number of vehicles on the with hush and rush lifestyles of drivers today, traffic accidents seem to be escalating in our society. partly to number of traffic accidents but surely not as the main factor. 
Those who agree with would view young drivers assuming under 18 years old and older drivers to be reckless and therefore would be more prone to traffic accidents on the road. Lack of experience, forgetfulness, carelessness and poor fitness condition may be reasons for limiting age of drivers. 

On the other hand, I would think that age is only a small determinant and we need to look at more effective measure such as reducing number of vehicles on the road through car pool, implementing more stringent regulations on alcohol drink driving and possibly to revise on the standard of driving test for young and old drivers on the road. Many drivers who are stuck in traffic jams also have busy lifestyles and therefore tend to become very stressed or distracted on the road. Thus I would think the government may have to look ways to improve road infrastructure and traffic jams to deter or reduce accidents on the road. 
To sum up, age is only one of the many contributors for accidents but I do not agree that age for the elderly and raising age limit for the younger drivers is the best method. As mentioned in my third paragraph, we need to look at other more effective measures which deal with the underlying problems in the society which lead to traffic accidents. 
","This essay needs some work. You should present two sides of the argument, for example “those in favor of X, say …” - ” those against Y point out that …” and leave your own opinion for the conclusion paragraph. Stating your opinion all over the essay is harming its structure. See comments (underlined in blue) for more suggestions for improvement. Overall, looks like a Band 6.5 essay. ",
