score,prompt,essay,comment
6.5,"Millions of people every year move to English- speaking countries such as Australia, Britain or America, in order to study at school, college or university. Why do so many people want to study in English? Why is English such an important international language? 
","Nowadays, language becomes a major factor to . Many people prefer to study abroad English-speaking country because English is an international language. There is no doubt that the best way to improve the English language skill is to use the English language daily so if people study in English speaking countries, their will be improved automatically and it will give them some advantages such as work in many countries or they will be to many different places without studying other languages. This essay will describe in detail why English is an important international language. 

Firstly, the English language is widely used in many countries and at present, the world traders are currently developing rapidly. In order to compete with people from different countries, it is to be able to communicate the English language. For example, China has been improving a lot in many sectors. They are able to compete with other countries because many people in China English language and they are trying hard to study English. 
Secondly, many companies prefer to employ people who can speak English because if the companies create new in different countries, the employers are able to move the new branch without new people and the branch company is still able to communicate with the central company. In fact, one of the largest companies in the world (Google) has created some in different countries and each of the Google is able to discuss things or otherwise communicate even though they are in different countries because they all use English to communicate. 
In conclusion, many people move to English speaking countries for further studies because they believe that it will improve their English skills and in order to become a successful person in the future, mastering English is . 


","This essay is too long (313 words instead of 250-265). It isn't a problem on its own, but wasting time on writing more content that you don't get extra marks for is not wise. Also, the more content you write, the more room for mistakes you create. There are a lot of poorly structured sentences and grammatical errors (see comments underlined in blue). Overall, this looks like a Band 6 - 6.5 essay. "
6.5,"You can get up-to-date news from the radio, TV and the Internet. Which kind of media do you think is the best to get the news? 
","Nowadays, there are several channels to get news, such as the radio, TV, newspapers and the Internet. I think the Internet is the best among these. . 
Since its invention, the Internet has been booming as a prospective industry. Not only because it is a combination of text, audio and video, but also due to its . It has threatened the domination of spreading news of the traditional media, and, I would say, is about to take control. 

We can find everything we want on the Internet - the latest news, books, songs, movies, cartoons… . With the radio, we can merely hear. Compared to a newspaper, the radio and TV can provide the latest information. For instance the breaking news of the Americans' attacking Iraq was immediately online, as well as that the Twin Towers of New York were destroyed on September 11, 2001. However, we just cannot . 
The Internet is a way of getting information, as long as your mobile phone is connected or you possess a laptop. When I am a vehicle, I usually have my cellphone connected to the Internet, then browse through what in the past few hours, or log in MSN to begin a conversation with my friends. Reading a newspaper is also a good way to kill time, but for me, a youngster, it is not so modern as “surfing online while commuting”. 
The traditional media will never disappear, though the Internet has taken a big advantage the competition. And definitely, there is still a long way for the Internet to go. , the Internet benefits me the most, and I highly appreciate it. 


","This essay needs some work. It covers the task and its structure is fine. However the structure of the sentences needs attention (see suggestions in comments underlined in blue). Some words such as “whatever” should be avoided. You use prepositions in an inaccurate way and there are grammatical and spelling errors in your essay as well. Overall, this looks like a Band 6.5 essay. "
6.5,"In many countries children are engaged in some kind of paid work. Some people regard this as completely wrong, while others consider it to be a valuable work experience, which is important for learning and taking responsibility. What is your opinion on this? 

","In the Third World, children are usually sent to factories for laborious work. Many people believe that it is merely exploitation, while others think it is a good opportunity for them to life experience. In any case, children have their right to live and study in peaceful conditions. Therefore, using them as workforce is considered an unacceptable action. 
First of all, children are not workers. They have just learned about the vast world and do not have any experience or concept of working. Since these innocent children are naive and , they can be easily cheated and exploited. There are many examples of this in poor nations. Because using children is cheap and to control, many enterprises hire them and don't pay them much. Although the government in these countries has tried its best, this kind of taking advantage of children cannot be eliminated. 

Moreover, children do not need such thing as 'valuable work experience' that is supposedly 'important for learning and taking responsibility'. The brief responsibility of children is learning. They are not old enough to understand what working experiences are. Nevertheless, they can help parents do chores or housework. This will be a much better way for them to become more responsible for . In addition, childhood is one of the most remarkable memories and must not be taken away by forcing them to work. 
In conclusion, since all children are the great concern of parent and society, they should be allowed to enjoy life and rather than to work. Hence, one must ponder what view is actually appropriate for the sake of the children. 
","This is a good essay. It covers the task, the paragraphs are coherent, the sentences are well-structured and the vocabulary is adequate. However a little structural change in the paragraphs is required - you should first make the point (such as “Some say that children should learn about earning money” and then oppose to it “However, children can not be compared to adult workers”). Also, there were some more inaccuracies (see comments underlined in blue). Overall, this looks like a Band 6.5 essay. "
6,"Even though globalization affects the world's economy in a very positive way, its negative side should not be forgotten. Discuss. 

","Everything has two sides and the globalization is not exception. Our first thoughts about this topic include the process of global “McDonaldisation” and, generally speaking, spreading across the whole Globe. 
        Firstly, I would try to concentrate on the positive aspects of globalisation. As far as economy is concerned, like the Global Bank or IMF are always focused on developing the 'Third World' and helping poor people to combat their life obstacles (through loans and donations). Moreover, the world becomes an area of sharing thoughts (e.g. philosophical or economical doctrines), which become popular due to lack of barriers. 

        However, disadvantages of globalization are also widely known. Some people insist that because of this process, the spirit of countries and nations rapidly disappears. The integrity, established years ago is on the verge of collapsing. Furthermore, there's a strong lobby of communists who , that the globalization indicates an uncontrolled reign of capitalists and slave work of lower labour-class. We should never forget about the detrimental impact of global investments on the environment - the green house effect or soar rains are triggered by globalization. 
        To sum up, globalization has both positive and negative influence on our everyday life. I can't agree with the popular statement that we should try to avoid being affected by it. However, we must not forget about our surroundings and local communities. They have a great value which should last forever. 
","This essay is too short (233 words instead of mandatory 250), which may get it penalized. On the bright side, it covers the task and has a sound structure on the essay level. The paragraphs are coherent and are logically connected by linking words; the sentences are well-structured and the vocabulary is adequate. There were some inaccuracies, see comments underlined in blue. Overall, this looks like a band 6 essay. "
6.5,"The best way to reduce the number of traffic accidents is to raise age limit for the younger drivers and to lower age limit for the aged ones. Do you agree? 


","With the rapid increase in the number of vehicles on the with hush and rush lifestyles of drivers today, traffic accidents seem to be escalating in our society. partly to number of traffic accidents but surely not as the main factor. 
Those who agree with would view young drivers assuming under 18 years old and older drivers to be reckless and therefore would be more prone to traffic accidents on the road. Lack of experience, forgetfulness, carelessness and poor fitness condition may be reasons for limiting age of drivers. 

On the other hand, I would think that age is only a small determinant and we need to look at more effective measure such as reducing number of vehicles on the road through car pool, implementing more stringent regulations on alcohol drink driving and possibly to revise on the standard of driving test for young and old drivers on the road. Many drivers who are stuck in traffic jams also have busy lifestyles and therefore tend to become very stressed or distracted on the road. Thus I would think the government may have to look ways to improve road infrastructure and traffic jams to deter or reduce accidents on the road. 
To sum up, age is only one of the many contributors for accidents but I do not agree that age for the elderly and raising age limit for the younger drivers is the best method. As mentioned in my third paragraph, we need to look at other more effective measures which deal with the underlying problems in the society which lead to traffic accidents. 
","This essay needs some work. You should present two sides of the argument, for example “those in favor of X, say …” - ” those against Y point out that …” and leave your own opinion for the conclusion paragraph. Stating your opinion all over the essay is harming its structure. See comments (underlined in blue) for more suggestions for improvement. Overall, looks like a Band 6.5 essay. "
6.5,"Financial education should be a mandatory component of the school program. To what extent do you agree or disagree with this statement? 

","In many countries the discussion about financial education getting more serious due to financial problems of young generation. Some people that financial education should be considered a mandatory subject at school. 

The common problem for those young people is that they don't know how to spend money in right way. As we can see many advertisements often carry out the message, “Only 10 dollars a week, no deposits” which is misleading think that living in debt is normal. Financial education is one of the solutions for . The basic idea of financial education as a core school subject is to teach those young ones to understand the concept of using money and to estimate a risk of borrowing money to buy something in the future. 
However, another factor we need . In my opinion, the role of financial education is getting more important and it should be a part of the school program but the parents are also important and have responsibility to how to manage the money. More than 70% of young people's money is from their parents. In addition, it has to be considered that a student might become person, talking about money all the time in class or even in a public place. It can be harmful for some students and affect their normal social life. 
In conclusion, I that financial education will have a positive effect on all young ones and other such social commutations should be considered just as important as financial education. 
","This essay needs work. It covers the task and presents enough arguments for and against, the structure on the essay level is fine. However there are many poorly structured sentences, many inappropriate expressions and many grammatical errors (see comments underlined in blue for more details). Overall, this looks like a band 6 - 6.5 essay. "
6,"Every year an increasing number of students choose to go to another country for their higher education. Do you think the benefits of this development outweigh the problems associated with it? 

","The past twenty years have seen a dramatic change the number of students who go abroad . In this essay, I will explore the advantages and disadvantages of this trend. 
On the one hand, both students and their country can benefit from this trend. First, students can choose more suitable methods for themselves because there are more options. The and teaching methods are quite different . According to foreign experts, Secondly, people can improve their foreign language, they can contact with when they are in a foreign country, and they quickly master the foreign language. Thirdly, it helps to promote the mutual understanding between their mother land and their destination countries. These students exchange information with the locals. Students can get better understanding of the countries. People in their home country will get more vivid information about other countries . Similarly, the locals also can get more clear recognition about other countries. 

On the other hand, there are disadvantages too. Firstly, it costs people a lot of money to begin college in foreign countries. Many families have to take out all their savings to support their children abroad. Secondly, some students cannot stand the big difference the new environment, they quit their study and come back home. 
To conclude, given the fact that in foreign countries helps students with their studies and promotes the mutual understanding countries, even if there are some drawbacks, I think the benefits outweigh the problems. 
","All the parts of the task were covered, although some were covered better than others. The writer's position is relevant to task prompt, although the conclusions are somewhat repetitive.The information is presented coherently, it is evident that the writer progresses from one idea to another. The linking words and phrases are used, however at times they seem repetitive or forced (not natural). There are some attempts to use more sophisticated words, not all are accurate. Even though there are some errors in grammar and punctuation, they don't make the meaning much harder to understand. Overall, this essay seems worthy of Band 6. "
6.5,"Some people prefer to spend their lives doing the same things and avoiding changes. Others, however think that change is always a good thing. Discuss both sides and give your own opinion. 


","Nowadays, people are arguing whether an ideal lifestyle should be a stable one or should it include a wide ranges of changes. 
In my opinion, whether changes are needed should be determined the of you are at. 
Apparently, are favorable the development of young people, in to their careers. Primarily, an abundant experience in varieties of jobs enables the young to master a broad range of techniques and skills, leading to significant edge over counterparts in the competition for employment. Meanwhile, trying various roles in life and work provides wide of lifestyles for the young in the future. Only after this comparison can they realize what the real goals of their . 

However, other than frequent changes, the elderly who have undergone all these challenges may pursue a steady lifestyle. For the elders, concentration on their favorite activities would give rise to a sense of enjoyment and security, which is helpful to physical and psychological health. Due to a stable life, the elderly are less exposed to stress, leading to a decrease in adrenal hormones and resulting in their well- . 
Furthermore, degeneration of mental and physical function would make the elderly unlikely to adapt to external changes, causing and , which are not contributing to their health. 
Above all, it is unlikely to describe the changes in life with a positive or negative term. Accommodation for personal needs and goals is more important than the changes themselves. 
","All the parts of the task were covered, although some were covered better than others. The main ideas are relevant but not all of them are developed well enough. The information is presented coherently, it is evident that the writer progresses from one idea to another. The linking words and phrases are used, however at times they are incorrect, repetitive or seem forced (not natural). Paragraphing needs to be done more logically. The writer's occasional word-formation errors detract from the good impression, but overall the response is still easy enough to understand. Even though there are some errors in grammar and punctuation, they don't make the meaning much harder to understand. Overall, this essay seems to be worthy of Band 6 - 6.5. "
6,"Full time university students spend most of the time studying. They should be doing other activities too. To what extent do you agree or disagree? 

","Full time study in university is a great experience in life but in parallel to that students other activities such as working for their pocket money, sports, participating in debates and . People differ in their opinion if students must in other things or stay concentrated on their studies only. The discussion will be presented below, followed by my opinion. 
Some people say that mere studying does not youth for a country. This way, students only earn theoretical knowledge not practical. For instance, students can be their studies but at the same time when they , they fail and cannot develop their confidence and work as brilliantly as they were in university. Hence, the best approach for them to be engaged here and there for practical experience. 
On the other hand, others believe that building a better career is the foremost thing in today's world. So, they are targeted to their studies and gain as much knowledge as they can. Furthermore, if they are diverted from their studies, they will not be able to their . 

In my point of view, there must be blending of full time education and extra activities. It refreshes students' minds and provides more energy . Moreover, by this way, they will learn how to with other people in the society. 
To summarize, it can be said that it is important to concentrate on but on the other hand there must be something to keep active and relaxed being involved in games, music, work and other extra activities. 
","The writer's position is relevant to task prompt, although the conclusions are somewhat repetitive. The main ideas are relevant but not all of them are developed well enough. The linking words and phrases are used, however at times they are either repetitive or seem forced (not natural). It is not always clear what the writer refers to in the essay. There are some attempts to use more sophisticated words but they are mostly inaccurate. The writer's occasional word-formation and grammar errors detract from the good impression, but overall the response is still easy enough to understand. Overall seems to be worthy of Band 6. "
6,"Students from rural areas often find it difficult to access university education. Some people think that it should become easier for them to study at universities. To what extent do you agree or disagree with this opinion? 


","Nowadays, it is acknowledged that students from suburban areas find it tough to receive higher education. Whether it should be made easier for them to access university education becomes an ongoing concern, which incurs a highly-charged debate. 
Obviously, higher education opportunities bring about benefits to students in multiple ways. For example, higher education becomes increasingly important to senior high school graduates, partly it determines if they have the competitive edge in the job market, and partly because it is seen as a guarantee of a certain level of the mental ability, from the computer literacy that is required by the most employers to the capacities of acquiring new knowledge the soonest possible which is valued by most . With a university degree, students from rural areas obtain a job easily, thereby bettering their living conditions and their family as well. 

Higher education also, however, to impose a heavy burden on families since the rise in the tuition fees are increasingly beyond those families' ability to afford. In addition, with the mounting evidence, a university degree is not always a guarantee of seizing a decent job; therefore, their living conditions are likely to  able to earn back their tuition fee after graduation. people argue, students from rural areas are not well-advised to pursue a university degree. But I perceive their desire to further their education should not be disrespected and the government should subsidise them to receive higher education. 
In conclusion, university education should be made fair to everyone, predicated only on their academic performance and mental abilities, rather than their financial capacities and the government should subsidise those students in need. 
","Teacher's comment: Not all the parts of the task were covered. The writer's position is relevant to task prompt, the main ideas are also relevant but not all of them are developed well enough. The information is presented coherently, it is evident that the writer progresses from one idea to another. 
The linking words and phrases are used in a correct way. The range of vocabulary is sufficient here. There are some attempts to use more sophisticated words but many of them are inaccurate. Even though there are some errors in grammar and punctuation, they don't make the meaning much harder to understand. Overall, this essay seems worthy of IELTS Band 6. "
6,"Students from rural areas often find it difficult to access university education. Some people think that it should become easier for them to study at universities. To what extent do you agree or disagree with this opinion? 


","Nowadays, it is acknowledged that students from suburban areas find it tough to receive higher education. Whether it should be made easier for them to access university education becomes an ongoing concern, which incurs a highly-charged debate. 
Obviously, higher education opportunities bring about benefits to students in multiple ways. For example, higher education becomes increasingly important to senior high school graduates, partly it determines if they have the competitive edge in the job market, and partly because it is seen as a guarantee of a certain level of the mental ability, from the computer literacy that is required by the most employers to the capacities of acquiring new knowledge the soonest possible which is valued by most . With a university degree, students from rural areas obtain a job easily, thereby bettering their living conditions and their family as well. 

Higher education also, however, to impose a heavy burden on families since the rise in the tuition fees are increasingly beyond those families' ability to afford. In addition, with the mounting evidence, a university degree is not always a guarantee of seizing a decent job; therefore, their living conditions are likely to  able to earn back their tuition fee after graduation. people argue, students from rural areas are not well-advised to pursue a university degree. But I perceive their desire to further their education should not be disrespected and the government should subsidise them to receive higher education. 
In conclusion, university education should be made fair to everyone, predicated only on their academic performance and mental abilities, rather than their financial capacities and the government should subsidise those students in need. 
","Teacher's comment: Not all the parts of the task were covered. The writer's position is relevant to task prompt, the main ideas are also relevant but not all of them are developed well enough. The information is presented coherently, it is evident that the writer progresses from one idea to another. 
The linking words and phrases are used in a correct way. The range of vocabulary is sufficient here. There are some attempts to use more sophisticated words but many of them are inaccurate. Even though there are some errors in grammar and punctuation, they don't make the meaning much harder to understand. Overall, this essay seems worthy of IELTS Band 6. "
6,"Students from rural areas often find it difficult to access university education. Some people think that it should become easier for them to study at universities. To what extent do you agree or disagree with this opinion? 


","Nowadays, it is acknowledged that students from suburban areas find it tough to receive higher education. Whether it should be made easier for them to access university education becomes an ongoing concern, which incurs a highly-charged debate. 
Obviously, higher education opportunities bring about benefits to students in multiple ways. For example, higher education becomes increasingly important to senior high school graduates, partly it determines if they have the competitive edge in the job market, and partly because it is seen as a guarantee of a certain level of the mental ability, from the computer literacy that is required by the most employers to the capacities of acquiring new knowledge the soonest possible which is valued by most . With a university degree, students from rural areas obtain a job easily, thereby bettering their living conditions and their family as well. 

Higher education also, however, to impose a heavy burden on families since the rise in the tuition fees are increasingly beyond those families' ability to afford. In addition, with the mounting evidence, a university degree is not always a guarantee of seizing a decent job; therefore, their living conditions are likely to  able to earn back their tuition fee after graduation. people argue, students from rural areas are not well-advised to pursue a university degree. But I perceive their desire to further their education should not be disrespected and the government should subsidise them to receive higher education. 
In conclusion, university education should be made fair to everyone, predicated only on their academic performance and mental abilities, rather than their financial capacities and the government should subsidise those students in need. 
","Teacher's comment: Not all the parts of the task were covered. The writer's position is relevant to task prompt, the main ideas are also relevant but not all of them are developed well enough. The information is presented coherently, it is evident that the writer progresses from one idea to another. 
The linking words and phrases are used in a correct way. The range of vocabulary is sufficient here. There are some attempts to use more sophisticated words but many of them are inaccurate. Even though there are some errors in grammar and punctuation, they don't make the meaning much harder to understand. Overall, this essay seems worthy of IELTS Band 6. "
