score,prompt,essay,comment
9,"
There is a moral necessity today for the richer countries of the world to help the poorer countries develop in terms of feeding the population, education and health care. To what extent do you agree or disagree with this statement? 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
The world today is often divided into two categories, more developed and less developed countries. This division is significant in terms of health, wealth and education. To minimise this gap, it is argued that richer countries are morally responsible to support the less wealthy. I, personally, feel that the prosperous countries are obligated and expected to to contribute to the development of countries with weaker economies. 
To address this argument, the history of the wealthy countries is relevant. Many less developed countries are former colonies, therefore the wealthy countries had a historical impact on the less wealthy. Thus, richer countries' economies were dependent on the currently less developed countries for their rich status. Furthermore, even today the wealthy countries contribute to the wealth inequality by exploiting the inhabitants of less developed countries, giving workers lower wages than people within their own countries. Due to this dependence on poorer countries and the influence that the richer countries have had on the imbalance, it can be concluded that richer countries are indeed morally obliged to help the less wealthy countries. 
Opposing this is the view that each country is in charge of their own inhabitants and that therefore they need to provide health, education and basic necessities for themselves. In addition, simply providing these three services would not lead to closing the wealth gap. It would rather be helpful to invest sustainably in poorer countries and help them create their own systems, allowing these countries to be self-sufficient. 
In conclusion, while there is a moral necessity for wealthy countries to aid the poorer ones, simply providing basic necessities is not sufficient. A more sustainable idea would be to teach countries to plan and provide for themselves by giving economic incentives. 
",N/A
9,"
Providing a national system in a country where the unemployed receive a regular payment only encourages people not to seek work and puts an unreasonable strain on a country's financial resources. 
Discuss this statement and give your opinion. 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
In modern day society, money is a driving force for nearly everyone. Most people aspire to be financially secure and to have the ability to live the life they want. However, not everyone is able to find paid employment, and for that reason in some countries around the world, governments have initiated a system where the unemployed receive a regular payment to enable them to survive. Some people believe it is an excellent idea, whilst others believe that it is exhausting a country's financial resources. 
When looking at the positive aspects of this system, it can be said that it prevents individuals from having a private bankruptcy. When somebody becomes unemployed, he or she will have on-going costs such as rent for a dwelling, bills for water, telephone and electricity as well as the cost of food and several other things. Without a salary, this person will fall into debt, because they will be unable to cover these expenses. A national unemployment payment system will therefore prevent this person from losing nearly everything over time. Without such system, many people would become homeless and would potentially engage in criminal activities to survive. Therefore, one can say that this system is positive. Although stories are heard of people exploiting the system, usually the newly unemployed want to find a job fast in order to become financially independent again, meaning that the government does not have to support them for long. 
Although there are positive aspects of this system, one can also say that if the payment made by the government is too high, it will prevent people from looking for work actively. Occasionally, the payment people receive is higher than their potential salaries, deterring them from working and creating an on-going cost for the government. A potential solution for this could be providing free training and employment support to open up new career opportunities with higher income, which would motivate this group to re-enter the workforce. 
In conclusion, the unemployment benefits system has positive and negative aspects. Personally, I believe that the positive effects of the system outweigh the negative. The payment must remain on a level that helps people survive without regular salaries, but does not seem attractive to exploit over a longer period of time. 
",N/A
9,"
It is the responsibility of individuals to save and provide for their own retirement. Governments have no obligation to provide this benefit. 
To what extent do you agree or disagree with this statement? 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
The responsibility for providing funds for retirement is incredibly important and something that is often overlooked by younger people. Some believe it is the responsibility of the individual to plan for this, but others feel it is the responsibility of the state. 
People who believe that the state should be responsible for funding retirees, base their argument on the fact that in most countries, people pay taxes and social charges to the government. This money, they argue, should also go towards the provision of a pension for the person paying the tax. In addition, those who have very small or no income, pay little or no tax and do not have the ability to provide for themselves. The government, therefore, in its role of caring for the population, has an obligation to pay a pension and provide other social benefits, such as medical treatment. 
Many others, however, feel that it is the responsibility of individuals to fund their own retirements. As adults, they argue, people should be able to set aside and invest money throughout their lifetime, so that they can retire with few financial worries. In many countries the government has legislated a framework allowing and encouraging citizens to save up and accumulate sufficient funds for the period after their working years have ended. 
I neither agree nor disagree with the statement, but rather my opinion takes in parts of both arguments. I feel that people should be responsible for saving money to fund their retirement, but I also feel that individuals who have not had the chance to do so should be supported by the government out of taxes. In my view, therefore, it is wrong to say that governments have no obligation to help people in this area. Governments are there to support the entire population of their countries, which includes the poorer elements of society. 
",N/A
9,"
Every household should have a government-imposed limit on the amount of rubbish it can throw away. To what extent do you agree or disagree with this? 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
The amount of waste people produce can be quite shocking, with every person generating kilograms of rubbish in a single day, and all this can be difficult to manage. This has given some people the idea that there should be a limitation on the amount of rubbish produced per household; however, opinions are divided as to whether this would be the the most effective option. 
Having a limitation on the amount of waste produced sounds like a fine solution to a significant problem, with over two hundred and fifty million tons being generated in 2016 by the U.S. alone. Taxing households that break limits would push people to produce less waste and make them more mindful of what can be recycled or composted. However, forcing people to produce less waste might not be attainable. 
Households produce as much waste as they need to live their lifestyles. The waste people generate is only a result of the products they purchase, and will most likely wish to continue to purchase. Taxing people may be a cause of resentment, with many of them already struggling to pay their usual bills. In addition, if people produce more than they are allowed, this will encourage littering and dumping, so that they are not caught with more waste than entitled, and this in turn will damage the environment. 
Though controlling the amount of waste produced is important, there could be other ways of encouraging lesser output. In my opinion, governments should encourage composting and recycling, which will also reduce wasted material. People should also be more aware of what waste they produce and how it can be reduced. An education drive on these issues would perhaps be more likely to succeed in reducing rubbish than imposing limitations. 
",N/A
9,"
Many cities have areas where the only cars are taxis and buses. 
Is this a positive or a negative development? What are the effects of this on individuals and society? 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
Banning cars from the centre of various cities around the world has been a strategy to reduce pollution and encourage people to use public transport. It has had various positive effects for both individuals and for society as a whole. 
Banning cars from the centre of cities seems to be a very positive development. Fewer cars on the road means less pollution and fewer fossil fuel resources being used up. Although the effect on resources might be relatively negligible, it can create a newer way of thinking regarding the dynamics of transport within cities and this could be the most important benefit to society. Some people working in the centre of these cities may complain about inconvenience, but many would agree that this is a small price to pay. 
A reduction in the reliance of people on private vehicles is likely to encourage them to use public transport or even bicycles. Using public transport, especially the types that run on clean sources of power, will significantly raise air quality levels in cities, which will of course benefit everyone. The clean air could even further encourage the use of bicycles, which would in turn promote more healthy lifestyles and less obesity. This would contribute on an individual level to people's well-being and a better and longer life, and on a societal level, it would lessen the strain on public health resources. Governments could encourage this by creating more bicycle lanes to make cycling easier and safer. 
In conclusion, it is clear that banning cars from the centre of cities is significantly beneficial. Better health and ecology, as well as improvement in longevity and well-being can benefit individuals and the entire society. 
",N/A
9,"
Many people in cities today live in high-rise apartment blocks. What are the advantages and disadvantages of this type of living? 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
High-rise apartment blocks are a common sight in cities around the world. They are especially popular in large cities and in locations where building land is scarce. Living in such buildings has various advantages and disadvantages for town planners and the inhabitants themselves. 
The most significant advantage of high-rise apartment blocks is probably for the town planners. With land often being at a premium in large cities, one way to maximise space is to build upwards, so that the population density per square kilometre can be increased. The demand for housing in big cities can therefore be more easily met. There are also disadvantages for town planners. The heavier population density can put added pressure on social facilities, for example sewage and other waste disposal, and the provision of adequate school and medical services. 
There are also advantages and disadvantages for the actual inhabitants of high-rise apartment blocks. With the demand for housing being reduced, prices are therefore not as high, making housing more affordable. Many people also like not having to be responsible for a garden, and living in an apartment has this advantage. Finally, with so many people living in the same area, many friendships can be made and a community spirit can be built up. It appears the most significant disadvantage is that, in practice, living in high-rise apartment blocks is just not the lifestyle many people want. In some city neighbourhoods, these living spaces can often be associated with poor living conditions and undesirable social elements. In addition, many people view high-rise apartment blocks as being unsafe. For example, in the case of fire, tall buildings are difficult or impossible to evacuate safely. 
It is clear that high-rise apartment blocks have benefits and drawbacks. It is also clear, however, that due to the need to house increasing numbers of people in cities, these architectural features are here to stay, whether people like them or not. 
",N/A
9,"
Some people like to own the place where they live, but other people like to rent where they live. Discuss both views and give your own opinion. 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
The debate over whether it is better to own or rent the property in which one lives is one that has strong supporters on each side. There are persuasive arguments for both points of view. 
One of the main advantages of renting a property is flexibility. Usually, a tenant only has to give a month's notice before changing where he or she lives. If a property is owned and a change is needed, the property must be put onto the market and it is frequently a long and stressful process to get a sale completed. Sometimes, the wrong time of year or a bad market can mean that a sale is not possible. Another advantage of renting is that a large amount of a family's capital is not tied up in the property. Property can cost hundreds of thousands of dollars and often a lot more. If one rents, this money can be spent on other things to help improve the family's quality of life. If the property is on a mortgage, then the deposit, also often very large, is tied up in the property and the pressure of having to make substantial payments every month can cause a lot of stress. 
Owning a property does have various advantages, though. Even though people usually have to service a mortgage every month with payments, this money is then built up with the property. With renting, the money is lost to the landlord, but at the end of the term of the mortgage, the whole property is owned by the family. This makes the process of living in a property a type of investment. In addition, the property's value often goes up after time, frequently creating a substantial profit. Owning the property where one lives can also create a sense of well-being and self-actualisation. 
The decision to whether one rents or owns the property in which one lives really boils down to individual preference. My opinion is that it is much more preferable to own a property, mainly because it creates a valuable asset for the family. 
",N/A
9,"
Some people feel that learning a foreign language is an essential component of a child's education. Others feel that learning a foreign language is often a waste of time that can be better spent on learning about technology and other more vocational subjects. 
Discuss both views and give your own opinion. 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
Throughout the history of education, learning a foreign language or languages has been a constant component. Of course, many people feel that this is really an unnecessary part of education for everyone, but this is not a point of view that I share. 
The opponents to learning a foreign language might argue that most people do not travel that often outside their own country. In addition to this, out of all the countries of the world, comparatively not many share the same language. Therefore, learning a foreign language will only be useful for the very limited time that one spends in a country where this language is used. For some people, the language might never be used in their entire lives. When one thinks about how much time and money are spent training language teachers, buying resources, going on trips and delivering lessons for such a negligible benefit, this would seem to be a very inefficient allocation of resources. 
However, the benefits of learning a foreign language go further than just the ability to use it from time to time on a holiday or business trip. Firstly, through learning one language, one gains an understanding to some extent of how all languages work. Thus, no matter where people might end up around the world, the knowledge of language can be of use. Secondly, with the study of a foreign language, one also opens oneself up to other cultures. This allows in turn an appreciation for different points of view and belief systems. With an ever-shrinking world due to globalisation, the ability to empathise and understand the people from other countries is vital to reducing conflict and creating a more tolerant society. Finally, quite simply learning languages is excellent for the improvement of general cognitive skills. 
It seems to me that learning a foreign language, therefore, is more than just gaining the ability to speak a few words of a foreign tongue. It is part of intellectual and social development and needs to be continued for everyone in today's schools. 
",N/A
9,"
The number of advertisements for charities on television and the Internet seems to be increasing. What is causing this? Is this a positive or a negative development? 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
It indeed appears true that the frequency with which advertisements for charities appear both on television and the Internet seems to be increasing. There can be various explanations for this and it can be seen in both a positive and negative light. 
One explanation for the increase in the number of charity advertisements is that the charities themselves are becoming more aggressive in their marketing. This can also be seen in the common strategy nowadays to encourage a monthly donation, rather than a one-off donation. The increased marketing is apparent too in the increased numbers of 'street salespeople', who stop passersby and try to get them to commit to this monthly payment. 
A second reason for the increase could also be that there have been more charities started and the number of advertisements would therefore increase and become more noticeable. If these charities are all legitimate, this would mean that more help will be getting to causes that need it. The increase in charities could also be explained by a possible increase of humanitarian awareness. People might be now adopting different ideologies that take into account people in less advantageous positions. 
If the number of advertisements for charities has risen due to the fact that there has been a positive shift in people's compassionate principles, this surely has to be seen as an optimistic development. If it is due to the fact that governments have been cutting back, it could be seen as a pessimistic development. In addition, if there are more charities asking for more money, this will inevitably mean that the amount of money donated will have to be more thinly spread, which would be a negative development. 
There could be several reasons for why there are more charity advertisements today. Whatever the reasons, as long as any money is helping people in disadvantageous positions, it must be seen as a positive development. 
",N/A
9,"
Professional sportsmen and sportswomen and professional entertainers can often command enormous salaries today and this situation reflects society's dependence on being entertained. 
To what extent do you agree or disagree with this? 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
It is no secret that today's entertainment industry is extremely popular, with nearly everyone being engaged at some time in watching TV shows, movies and sports games. The North American sports industry alone generates a massive $67.7 billion every year. With the present emphasis on entertainment, sportsmen and women and professional entertainers can earn enormous salaries, with figures in the millions for one game, appearance or film. This situation certainly does reflect today's society's obsession with entertainment. 
Many people argue that celebrities do not deserve such payment when work in other professions considered of equal or higher value to society is underpaid. A-list celebrities can make over $20 million per movie, whilst many average workers can barely make ends meet. Of course there are lots of people who say that there are better ways the money could be used, rather than allowing such a vast amount to go to just one person. This is a fairly naive point of view, though. So long as people wish to watch entertainment, advertising in turn will be present and the most watched celebrities will be able to earn high salaries, as their presence will ensure the high viewing figures the advertisers desire. 
Though celebrities and sportsmen and sportswomen often make very large sums of money, it can also be seen as unfair to say that they do not deserve it or propose their money be used for something else. While it is true that they did not find a cure for cancer or made a life-changing scientific discovery, their hard work and expertise created a product that the public wants to see and the high payment merely reflects their value. 
In conclusion, it is clear that today's society is indeed a society obsessed with being entertained and the high salaries paid to those who entertain society clearly reflect this. The high payments, however, are not necessarily out of place or undeserved. 
",N/A
9,"
The fact that enormous sums are paid for pieces of art is not acceptable at a time when many people around the world live in poverty. Discuss this statement and give your opinion. 
Give reasons for your answer and include any relevant examples from your knowledge or experience. 
You should write at least 250 words. 

","
It is true that pieces of art in today's world can change hands for enormous sums. Works by artists such as Picasso, da Vinci and Rembrandt have been sold for millions of dollars. Recently, a Modigliani was sold to a billionaire for one hundred and seventy million dollars. It certainly seems obscene that such figures are spent when many people around the world live in poverty. 
The work of many charities would be transformed by the money generated by just one of these art sales and in turn, the lives of ordinary people in need would be transformed. Medicines, food and shelter amongst other things could easily be provided, saving lots of lives, many of which would be children. When the issue is looked at from this point of view, the art sales world certainly seems obscene. 
However, in my opinion, things are unlikely to change. Human greed is endemic and people who have the drive to earn that amount of money and who actually have access to these sums in cash are not often people who will part with their wealth. Lots of prosperous people support many charities, but it is unlikely that they would completely relinquish their access to the luxuries that accompany their lives. The works of art are also often seen as investments in themselves, to be held on to for a period of time and then resold at a profit. 
In conclusion, in an ideal world, the vast sums of money that are spent on fine and rare works of art would be better spent on helping those in need. In reality, however, this is unlikely to take place. 
",N/A
